MatchID,MapID,MapName
2366986/big-academy-vs-entropiq-esea-advanced-season-46-europe,163463,Inferno
2366986/big-academy-vs-entropiq-esea-advanced-season-46-europe,163467,Anubis
2366986/big-academy-vs-entropiq-esea-advanced-season-46-europe,163477,Overpass
2366987/los-kogutos-vs-7am-esea-advanced-season-46-europe,163470,Ancient
2366987/los-kogutos-vs-7am-esea-advanced-season-46-europe,163478,Anubis
2366947/9-pandas-vs-falcons-cct-north-europe-series-8,163464,Overpass
2366947/9-pandas-vs-falcons-cct-north-europe-series-8,163474,Mirage
2366807/1win-vs-mibr-cct-2023-online-finals-3,163462,Vertigo
2366807/1win-vs-mibr-cct-2023-online-finals-3,163471,Mirage
2366946/ecstatic-vs-aurora-young-blud-cct-north-europe-series-8,163454,Overpass
2366946/ecstatic-vs-aurora-young-blud-cct-north-europe-series-8,163458,Vertigo
2366946/ecstatic-vs-aurora-young-blud-cct-north-europe-series-8,163461,Ancient
2366806/mibr-vs-preasy-cct-2023-online-finals-3,163457,Ancient
2366806/mibr-vs-preasy-cct-2023-online-finals-3,163460,Mirage
2366882/bravado-vs-nixuh-telkom-vs-gaming-masters-2023,163451,Ancient
2366882/bravado-vs-nixuh-telkom-vs-gaming-masters-2023,163453,Vertigo
2366882/bravado-vs-nixuh-telkom-vs-gaming-masters-2023,163455,Nuke
2366882/bravado-vs-nixuh-telkom-vs-gaming-masters-2023,163459,Inferno
2366945/los-kogutos-vs-preasy-cct-north-europe-series-8,163448,Mirage
2366945/los-kogutos-vs-preasy-cct-north-europe-series-8,163449,Ancient
2366945/los-kogutos-vs-preasy-cct-north-europe-series-8,163452,Vertigo
2366728/bestia-vs-pain-cbcs-2023-season-2,163435,Nuke
2366728/bestia-vs-pain-cbcs-2023-season-2,163443,Inferno
2366728/bestia-vs-pain-cbcs-2023-season-2,163444,Anubis
2366955/thunderflash-vs-zero-tenacity-hardplay-cup-7,163428,Inferno
2366955/thunderflash-vs-zero-tenacity-hardplay-cup-7,163430,Anubis
2366955/thunderflash-vs-zero-tenacity-hardplay-cup-7,163434,Nuke
2366805/alternate-attax-vs-preasy-cct-2023-online-finals-3,163427,Mirage
2366805/alternate-attax-vs-preasy-cct-2023-online-finals-3,163431,Ancient
2366805/alternate-attax-vs-preasy-cct-2023-online-finals-3,163433,Inferno
2366727/fluxo-vs-pain-cbcs-2023-season-2,163429,Vertigo
2366727/fluxo-vs-pain-cbcs-2023-season-2,163432,Overpass
2366129/eternal-fire-vs-liquid-esl-pro-league-season-18,163425,Vertigo
2366129/eternal-fire-vs-liquid-esl-pro-league-season-18,163426,Mirage
2366726/bestia-vs-case-cbcs-2023-season-2,163414,Mirage
2366726/bestia-vs-case-cbcs-2023-season-2,163418,Inferno
2366726/bestia-vs-case-cbcs-2023-season-2,163424,Overpass
2366954/websterz-vs-betera-hardplay-cup-7,163415,Nuke
2366954/websterz-vs-betera-hardplay-cup-7,163420,Anubis
2366954/websterz-vs-betera-hardplay-cup-7,163423,Inferno
2366944/pompa-vs-aurora-young-blud-cct-north-europe-series-8,163413,Inferno
2366944/pompa-vs-aurora-young-blud-cct-north-europe-series-8,163419,Vertigo
2366944/pompa-vs-aurora-young-blud-cct-north-europe-series-8,163422,Ancient
2366804/1win-vs-mibr-cct-2023-online-finals-3,163417,Vertigo
2366804/1win-vs-mibr-cct-2023-online-finals-3,163421,Mirage
2366128/complexity-vs-g2-esl-pro-league-season-18,163404,Anubis
2366128/complexity-vs-g2-esl-pro-league-season-18,163410,Inferno
2366128/complexity-vs-g2-esl-pro-league-season-18,163416,Ancient
2366803/monte-vs-preasy-cct-2023-online-finals-3,163402,Mirage
2366803/monte-vs-preasy-cct-2023-online-finals-3,163405,Overpass
2366803/monte-vs-preasy-cct-2023-online-finals-3,163412,Ancient
2366953/zero-tenacity-vs-betera-hardplay-cup-7,163401,Overpass
2366953/zero-tenacity-vs-betera-hardplay-cup-7,163407,Nuke
2366802/legacy-vs-alternate-attax-cct-2023-online-finals-3,163388,Inferno
2366802/legacy-vs-alternate-attax-cct-2023-online-finals-3,163395,Overpass
2366802/legacy-vs-alternate-attax-cct-2023-online-finals-3,163400,Anubis
2366127/lynn-vision-vs-liquid-esl-pro-league-season-18,163393,Anubis
2366127/lynn-vision-vs-liquid-esl-pro-league-season-18,163399,Ancient
2366952/websterz-vs-thunderflash-hardplay-cup-7,163390,Anubis
2366952/websterz-vs-thunderflash-hardplay-cup-7,163398,Mirage
2366879/bravado-vs-goliath-telkom-vs-gaming-masters-2023,163391,Anubis
2366879/bravado-vs-goliath-telkom-vs-gaming-masters-2023,163397,Vertigo
2366942/9-pandas-vs-anonymo-cct-north-europe-series-8,163389,Overpass
2366942/9-pandas-vs-anonymo-cct-north-europe-series-8,163396,Ancient
2366958/vertex-vs-vantage-cct-oceania-series-2,163384,Overpass
2366958/vertex-vs-vantage-cct-oceania-series-2,163386,Vertigo
2366878/pain-vs-solid-cct-south-america-series-11,163372,Mirage
2366878/pain-vs-solid-cct-south-america-series-11,163376,Overpass
2366951/betera-vs-cybershoke-hardplay-cup-7,163380,Overpass
2366951/betera-vs-cybershoke-hardplay-cup-7,163381,Ancient
2366951/betera-vs-cybershoke-hardplay-cup-7,163379,Anubis
2366845/the-prodigies-se-vs-eyeballers-evnia-open-2023,163369,Overpass
2366845/the-prodigies-se-vs-eyeballers-evnia-open-2023,163375,Ancient
2366126/eternal-fire-vs-cloud9-esl-pro-league-season-18,163368,Vertigo
2366126/eternal-fire-vs-cloud9-esl-pro-league-season-18,163374,Overpass
2366801/mibr-vs-legacy-cct-2023-online-finals-3,163366,Inferno
2366801/mibr-vs-legacy-cct-2023-online-finals-3,163373,Mirage
2366941/ecstatic-vs-genone-cct-north-europe-series-8,163355,Ancient
2366941/ecstatic-vs-genone-cct-north-europe-series-8,163365,Anubis
2366941/ecstatic-vs-genone-cct-north-europe-series-8,163367,Nuke
2366844/eyeballers-vs-416olsk-evnia-open-2023,163353,Ancient
2366844/eyeballers-vs-416olsk-evnia-open-2023,163358,Overpass
2366844/eyeballers-vs-416olsk-evnia-open-2023,163363,Vertigo
2366877/solid-vs-fluxo-cct-south-america-series-11,163352,Ancient
2366877/solid-vs-fluxo-cct-south-america-series-11,163362,Anubis
2366125/virtuspro-vs-liquid-esl-pro-league-season-18,163349,Inferno
2366125/virtuspro-vs-liquid-esl-pro-league-season-18,163354,Ancient
2366125/virtuspro-vs-liquid-esl-pro-league-season-18,163361,Vertigo
2366800/monte-vs-1win-cct-2023-online-finals-3,163351,Ancient
2366800/monte-vs-1win-cct-2023-online-finals-3,163360,Overpass
2366950/aurora-young-blud-vs-zero-tenacity-hardplay-cup-7,163350,Anubis
2366950/aurora-young-blud-vs-zero-tenacity-hardplay-cup-7,163357,Vertigo
2366940/b8-vs-falcons-cct-north-europe-series-8,163337,Anubis
2366940/b8-vs-falcons-cct-north-europe-series-8,163344,Ancient
2366940/b8-vs-falcons-cct-north-europe-series-8,163348,Mirage
2366799/sinners-vs-preasy-cct-2023-online-finals-3,163342,Inferno
2366799/sinners-vs-preasy-cct-2023-online-finals-3,163347,Overpass
2366876/o-plano-vs-pain-cct-south-america-series-11,163339,Overpass
2366876/o-plano-vs-pain-cct-south-america-series-11,163346,Nuke
2366124/lynn-vision-vs-9ine-esl-pro-league-season-18,163328,Anubis
2366124/lynn-vision-vs-9ine-esl-pro-league-season-18,163333,Vertigo
2366124/lynn-vision-vs-9ine-esl-pro-league-season-18,163338,Overpass
2366798/alternate-attax-vs-looking4org-cct-2023-online-finals-3,163322,Inferno
2366798/alternate-attax-vs-looking4org-cct-2023-online-finals-3,163329,Overpass
2366798/alternate-attax-vs-looking4org-cct-2023-online-finals-3,163334,Ancient
2366939/los-kogutos-vs-zero-tenacity-cct-north-europe-series-8,163324,Anubis
2366939/los-kogutos-vs-zero-tenacity-cct-north-europe-series-8,163331,Mirage
2366922/mindfreak-vs-vantage-cct-oceania-series-2,163320,Overpass
2366922/mindfreak-vs-vantage-cct-oceania-series-2,163321,Nuke
2366922/mindfreak-vs-vantage-cct-oceania-series-2,163325,Vertigo
2366875/furia-academy-vs-fluxo-cct-south-america-series-11,163314,Mirage
2366875/furia-academy-vs-fluxo-cct-south-america-series-11,163315,Ancient
2366725/meta-vs-pain-cbcs-2023-season-2,163308,Nuke
2366725/meta-vs-pain-cbcs-2023-season-2,163313,Anubis
2366797/preasy-vs-sharks-cct-2023-online-finals-3,163304,Ancient
2366797/preasy-vs-sharks-cct-2023-online-finals-3,163310,Mirage
2366123/cloud9-vs-liquid-esl-pro-league-season-18,163299,Ancient
2366123/cloud9-vs-liquid-esl-pro-league-season-18,163305,Inferno
2366123/cloud9-vs-liquid-esl-pro-league-season-18,163309,Mirage
2366905/9-pandas-vs-sprout-cct-north-europe-series-8,163302,Anubis
2366905/9-pandas-vs-sprout-cct-north-europe-series-8,163307,Mirage
2366874/o-plano-vs-w7m-cct-south-america-series-11,163303,Ancient
2366874/o-plano-vs-w7m-cct-south-america-series-11,163306,Nuke
2366724/the-union-vs-case-cbcs-2023-season-2,163295,Mirage
2366724/the-union-vs-case-cbcs-2023-season-2,163301,Vertigo
2366796/sinners-vs-sprout-cct-2023-online-finals-3,163288,Vertigo
2366796/sinners-vs-sprout-cct-2023-online-finals-3,163293,Ancient
2366796/sinners-vs-sprout-cct-2023-online-finals-3,163300,Overpass
2366873/meta-vs-solid-cct-south-america-series-11,163290,Mirage
2366873/meta-vs-solid-cct-south-america-series-11,163294,Vertigo
2366904/alternate-attax-vs-preasy-cct-north-europe-series-8,163282,Overpass
2366904/alternate-attax-vs-preasy-cct-north-europe-series-8,163291,Ancient
2366904/alternate-attax-vs-preasy-cct-north-europe-series-8,163297,Inferno
2366122/eternal-fire-vs-virtuspro-esl-pro-league-season-18,163283,Vertigo
2366122/eternal-fire-vs-virtuspro-esl-pro-league-season-18,163289,Inferno
2366872/case-vs-pain-cct-south-america-series-11,163277,Mirage
2366872/case-vs-pain-cct-south-america-series-11,163280,Nuke
2366872/case-vs-pain-cct-south-america-series-11,163284,Inferno
2366795/looking4org-vs-og-cct-2023-online-finals-3,163279,Inferno
2366795/looking4org-vs-og-cct-2023-online-finals-3,163281,Ancient
2366903/endpoint-vs-genone-cct-north-europe-series-8,163276,Anubis
2366903/endpoint-vs-genone-cct-north-europe-series-8,163278,Ancient
2366794/aurora-vs-alternate-attax-cct-2023-online-finals-3,163274,Overpass
2366794/aurora-vs-alternate-attax-cct-2023-online-finals-3,163275,Ancient
2366902/pompa-vs-b8-cct-north-europe-series-8,163271,Inferno
2366902/pompa-vs-b8-cct-north-europe-series-8,163273,Vertigo
2366777/totsugeki-vs-eg-gold-esl-impact-league-season-4-north-america,163265,Inferno
2366777/totsugeki-vs-eg-gold-esl-impact-league-season-4-north-america,163269,Overpass
2366777/totsugeki-vs-eg-gold-esl-impact-league-season-4-north-america,163270,Nuke
2366776/cherry-bombs-vs-karma-esl-impact-league-season-4-north-america,163266,Inferno
2366776/cherry-bombs-vs-karma-esl-impact-league-season-4-north-america,163268,Overpass
2366871/pain-vs-corinthians-cct-south-america-series-11,163261,Nuke
2366871/pain-vs-corinthians-cct-south-america-series-11,163264,Anubis
2366871/pain-vs-corinthians-cct-south-america-series-11,163267,Mirage
2366793/fake-natty-vs-sprout-cct-2023-online-finals-3,163247,Overpass
2366793/fake-natty-vs-sprout-cct-2023-online-finals-3,163258,Inferno
2366793/fake-natty-vs-sprout-cct-2023-online-finals-3,163263,Ancient
2366773/kidisgraa-vs-cafeina-esl-impact-league-season-4-south-america,163256,Overpass
2366773/kidisgraa-vs-cafeina-esl-impact-league-season-4-south-america,163262,Mirage
2366772/divina-vs-fluxo-demons-esl-impact-league-season-4-south-america,163255,Vertigo
2366772/divina-vs-fluxo-demons-esl-impact-league-season-4-south-america,163260,Nuke
2366870/meta-vs-mibr-academy-cct-south-america-series-11,163243,Nuke
2366870/meta-vs-mibr-academy-cct-south-america-series-11,163251,Anubis
2366870/meta-vs-mibr-academy-cct-south-america-series-11,163257,Mirage
2366118/virtuspro-vs-g2-esl-pro-league-season-18,163237,Mirage
2366118/virtuspro-vs-g2-esl-pro-league-season-18,163246,Inferno
2366118/virtuspro-vs-g2-esl-pro-league-season-18,163254,Ancient
2366120/eternal-fire-vs-9ine-esl-pro-league-season-18,163239,Anubis
2366120/eternal-fire-vs-9ine-esl-pro-league-season-18,163250,Vertigo
2366767/navi-javelins-vs-g2-oya-esl-impact-league-season-4-europe,163238,Inferno
2366767/navi-javelins-vs-g2-oya-esl-impact-league-season-4-europe,163248,Anubis
2366769/9-pandas-fearless-vs-guild-esl-impact-league-season-4-europe,163235,Anubis
2366769/9-pandas-fearless-vs-guild-esl-impact-league-season-4-europe,163244,Mirage
2366768/let-her-cook-vs-shinigami-esl-impact-league-season-4-europe,163236,Nuke
2366768/let-her-cook-vs-shinigami-esl-impact-league-season-4-europe,163242,Overpass
2366901/falcons-vs-aurora-young-blud-cct-north-europe-series-8,163234,Vertigo
2366901/falcons-vs-aurora-young-blud-cct-north-europe-series-8,163241,Mirage
2366792/mibr-vs-preasy-cct-2023-online-finals-3,163227,Mirage
2366792/mibr-vs-preasy-cct-2023-online-finals-3,163232,Inferno
2366869/bestia-vs-o-plano-cct-south-america-series-11,163225,Ancient
2366869/bestia-vs-o-plano-cct-south-america-series-11,163229,Mirage
2366900/anonymo-vs-zero-tenacity-cct-north-europe-series-8,163221,Vertigo
2366900/anonymo-vs-zero-tenacity-cct-north-europe-series-8,163224,Nuke
2366900/anonymo-vs-zero-tenacity-cct-north-europe-series-8,163228,Inferno
2366119/cloud9-vs-complexity-esl-pro-league-season-18,163222,Anubis
2366119/cloud9-vs-complexity-esl-pro-league-season-18,163226,Ancient
2366791/1win-vs-aurora-cct-2023-online-finals-3,163217,Nuke
2366791/1win-vs-aurora-cct-2023-online-finals-3,163220,Mirage
2366791/1win-vs-aurora-cct-2023-online-finals-3,163223,Inferno
