MatchID,MapName,Team1,Team2,Team1_Pick,Team1_Win,Team1_Final_Score,Team2_Final_Score,Halfs_Played,Team1_Start_Side,Team1_Half1_Score,Team2_Half1_Score,Team1_Half2_Score,Team2_Half2_Score,Team1_OT_Score,Team2_OT_Score
2366986,Inferno,10254,10831,False,False,9,16,2,CT,4,11,5,5,0,0
2366986,Anubis,10254,10831,True,True,16,12,2,TR,8,7,8,5,0,0
2366986,Overpass,10254,10831,False,True,16,14,2,CT,8,7,8,7,0,0
2366947,Overpass,11883,11283,True,False,8,16,2,TR,6,9,2,7,0,0
2366947,Mirage,11883,11283,False,False,12,16,2,CT,9,6,3,10,0,0
2366807,Vertigo,10621,9215,True,True,16,11,2,TR,10,5,6,6,0,0
2366807,Mirage,10621,9215,False,True,16,13,2,CT,5,10,11,3,0,0
2366946,Overpass,11419,12366,True,True,16,9,2,TR,9,6,7,3,0,0
2366946,Vertigo,11419,12366,False,False,8,16,2,CT,5,10,3,6,0,0
2366946,Ancient,11419,12366,False,False,14,16,2,CT,6,9,8,7,0,0
2366806,Ancient,9215,12334,False,True,16,13,2,CT,7,8,9,5,0,0
2366806,Mirage,9215,12334,True,True,16,11,2,TR,6,9,10,2,0,0
2366882,Ancient,5158,11667,False,True,16,9,2,CT,8,7,8,2,0,0
2366882,Vertigo,5158,11667,True,False,9,16,2,TR,4,11,5,5,0,0
2366882,Nuke,5158,11667,False,True,19,17,2,CT,11,4,4,11,4,2
2366882,Inferno,5158,11667,True,True,16,14,2,TR,8,7,8,7,0,0
2366945,Mirage,10854,12334,True,True,16,14,2,TR,8,7,8,7,0,0
2366945,Ancient,10854,12334,False,False,16,19,2,CT,9,6,6,9,1,4
2366945,Vertigo,10854,12334,False,True,16,12,2,CT,5,10,11,2,0,0
2366728,Nuke,12144,4773,False,False,34,37,2,CT,9,6,6,9,19,22
2366728,Inferno,12144,4773,True,True,16,14,2,TR,11,4,5,10,0,0
2366728,Anubis,12144,4773,False,True,16,11,2,TR,6,9,10,2,0,0
2366955,Inferno,11628,11523,True,True,16,9,2,TR,10,5,6,4,0,0
2366955,Anubis,11628,11523,False,False,1,16,2,TR,1,14,0,2,0,0
2366955,Nuke,11628,11523,False,True,16,13,2,CT,12,3,4,10,0,0
2366805,Mirage,4501,12334,True,True,16,14,2,TR,6,9,10,5,0,0
2366805,Ancient,4501,12334,False,False,13,16,2,CT,9,6,4,10,0,0
2366805,Inferno,4501,12334,False,False,10,16,2,CT,7,8,3,8,0,0
2366727,Vertigo,11837,4773,False,False,11,16,2,CT,9,6,2,10,0,0
2366727,Overpass,11837,4773,True,False,13,16,2,TR,6,9,7,7,0,0
2366129,Vertigo,11251,5973,True,True,16,12,2,CT,7,8,9,4,0,0
2366129,Mirage,11251,5973,False,True,16,6,2,CT,11,4,5,2,0,0
2366726,Mirage,12144,10894,False,False,6,16,2,CT,5,10,1,6,0,0
2366726,Inferno,12144,10894,True,True,16,2,2,TR,13,2,3,0,0,0
2366726,Overpass,12144,10894,False,True,16,12,2,CT,13,2,3,10,0,0
2366954,Nuke,11331,12431,True,False,11,16,2,TR,5,10,6,6,0,0
2366954,Anubis,11331,12431,False,True,16,11,2,TR,8,7,8,4,0,0
2366954,Inferno,11331,12431,False,True,16,11,2,TR,8,7,8,4,0,0
2366944,Inferno,8209,12366,True,True,16,3,2,TR,12,3,4,0,0,0
2366944,Vertigo,8209,12366,False,False,11,16,2,CT,4,11,7,5,0,0
2366944,Ancient,8209,12366,False,True,16,13,2,CT,9,6,7,7,0,0
2366804,Vertigo,10621,9215,True,True,16,8,2,TR,11,4,5,4,0,0
2366804,Mirage,10621,9215,False,True,16,9,2,CT,10,5,6,4,0,0
2366128,Anubis,5005,5995,True,True,16,8,2,CT,9,6,7,2,0,0
2366128,Inferno,5005,5995,False,False,16,19,2,CT,8,7,7,8,1,4
2366128,Ancient,5005,5995,False,False,4,16,2,TR,3,12,1,4,0,0
2366803,Mirage,11811,12334,True,True,16,8,2,TR,8,7,8,1,0,0
2366803,Overpass,11811,12334,False,False,6,16,2,CT,5,10,1,6,0,0
2366803,Ancient,11811,12334,False,False,12,16,2,TR,8,7,4,9,0,0
2366953,Overpass,11523,12431,False,True,16,13,2,CT,8,7,8,6,0,0
2366953,Nuke,11523,12431,True,True,22,20,2,TR,5,10,10,5,7,5
2366802,Inferno,12468,4501,True,False,7,16,2,TR,4,11,3,5,0,0
2366802,Overpass,12468,4501,False,True,16,14,2,CT,6,9,10,5,0,0
2366802,Anubis,12468,4501,False,False,11,16,2,CT,5,10,6,6,0,0
2366127,Anubis,8840,5973,True,False,17,19,2,TR,9,6,6,9,2,4
2366127,Ancient,8840,5973,False,False,13,16,2,CT,10,5,3,11,0,0
2366952,Anubis,11331,11628,False,False,17,19,2,TR,7,8,8,7,2,4
2366952,Mirage,11331,11628,True,False,14,16,2,TR,10,5,4,11,0,0
2366879,Anubis,5158,8193,False,True,16,9,2,CT,8,7,8,2,0,0
2366879,Vertigo,5158,8193,True,True,16,13,2,TR,7,8,9,5,0,0
