ID,NickName,Name,Country
21468.0,hyped,Marcel 'hyped' Köhn,Germany
21139.0,pr1metapz,Luca 'pr1metapz' Voigt,Germany
20983.0,mrc9,Marc 'MRC9' Philipp	Jarke,Germany
21500.0,arrow,Luc 'ArroW' Oehmke,Germany
20169.0,skyye,Tom 'skyye' Hagedorn,Germany
13026.0,c0llins,Luka 'c0llins' Živanović,Serbia
19069.0,forsyy,David 'forsyy' Bílý,Czech Republic
20110.0,marix,Max 'Marix' Kugener,Luxembourg
18697.0,oxygen,Blagoi 'oxygeN' Dimitrov,Bulgaria
5796.0,tizian,Tizian 'tiziaN' Feldbusch,Germany
15901.0,enzo,Karol 'Enzo' Lasota,Poland
20283.0,tomiko,Tomasz 'tomiko' Uroda,Poland
20284.0,maaryy,Martin 'maaryy' Nakonieczny,Poland
22007.0,sh3nanigan,Miłosz 'sh3nanigan' Klimczak,Poland
22751.0,hotd0g,Marcel 'hotd0g ' Maziejuk,Poland
19650.0,husky,Oliver 'husky' Gollings,United Kingdom
21341.0,lvn,Oscar 'LVN' Levin,United Kingdom
22192.0,vacancy,Mason 'Vacancy' Haines,United Kingdom
22213.0,yz0,Zy 'yz0' Esponilla,United Kingdom
22874.0,silence,Leo 'Silence' Ingvarsson,Sweden
14273.0,idisbalance,Artem 'iDISBALANCE' Egorov,Russia
17508.0,glowiing,Aleksandr 'glowiing' Matsievich,Russia
20357.0,d1ledez,Daniil 'd1Ledez' Kustov,Russia
3347.0,seized,Denis 'seized' Kostin,Russia
12004.0,clax,Timur 'clax' Sabirov,Russia
7168.0,nbk,Nathan 'NBK-' Schmitt,France
8374.0,bodyy,Alexandre 'bodyy' Pianaro,France
19763.0,boros,Mohammad 'BOROS' Malhas,Jordan
16847.0,mhl,Miłosz 'mhL' Knasiak,Poland
20761.0,launx,Laurențiu 'lauNX' Țârlea,Romania
11498.0,nickelback,Aleksei 'NickelBack' Trofimov,Russia
11840.0,boombl4,Kirill 'Boombl4' Mikhailov,Russia
13982.0,forester,Igor 'Forester' Bezotecheskiy,Russia
20113.0,deko,Denis 'deko' Zhukov,Russia
16948.0,travis,Aleksandr 'TRAVIS' Timkiv,Russia
11154.0,exit,Raphael 'exit' Lacerda,Brazil
18835.0,saffee,Rafael 'saffee' Costa,Brazil
19750.0,drop,André 'drop' Abreu,Brazil
20987.0,brnz4n,Breno 'brnz4n' Poletto,Brazil
21037.0,insani,Felipe 'insani' Yuji,Brazil
8891.0,nodios,Magnus 'Nodios' Olsen,Denmark
13749.0,queenix,Jonas 'Queenix' Dideriksen,Denmark
20300.0,kraghen,Tobias 'kraghen' Kragh Jensen,Denmark
21379.0,salazar,Jason 'salazar' Salazar,Denmark
13077.0,patti,Patrick 'Patti' Larsen,Denmark
22803.0,bl1x1,David 'bl1x1' Stepanyants,Russia
23302.0,bluewh1te,Mulonov 'bluewh1te' Lubsan ,Russia
23360.0,easy,Ivan 'easy' Mikitenko,Russia
23361.0,malinov,Danil 'malinov' Mutav,Russia
23359.0,sh1geo,Oleg 'sh1geo' Stasenko,Russia
11995.0,tmb,Thomas 'TMB' Bundsbæk,Denmark
13602.0,nicoodoz,Nico 'nicoodoz' Tamjidi,Denmark
21346.0,topz,Alexander 'tOPZ' Miklagard,Denmark
10610.0,refrezh,Ismail 'refrezh' Ali,Denmark
16705.0,altekz,Alexander 'Altekz' Givskov,Denmark
17371.0,march,Marchahn 'march' Smith,South Africa
14904.0,slowye,Aaron 'SloWye' van der Walt,South Africa
18882.0,wilj,Wiljahne 'wilj' Smith,South Africa
18883.0,doru,Johnathan 'Doru' Fox,South Africa
21150.0,triton,Kian 'Triton' Gibson,South Africa
10611.0,fadey,Rhys 'Fadey' Armstrong,South Africa
13557.0,blaze,Josh 'bLazE' Saunders,South Africa
20840.0,froz3n,Michael 'FROZ3N' van der Walt,South Africa
11629.0,flexeeee,Rieghardt 'flexeeee' Romatzki,South Africa
23173.0,rustyyg,Dustin 'RustyYG' Peacock,South Africa
8549.0,exus,Konrad 'EXUS' Jeńczeń,Poland
18885.0,aw3some,Shannon 'aw3some' Corran,South Africa
19547.0,wildheart,Tristan 'Wildheart' Fuller,South Africa
20910.0,exe,Aidan 'exe' Vorster,South Africa
21151.0,udeadshot,Robert 'uDEADSHOT' Butler,South Africa
22489.0,slash,Adam 'slash' Schultz,South Africa
18922.0,melkies,Steven 'melkies' Piek,South Africa
20819.0,fallz,Kurt 'Fallz' Pluddemann,South Africa
23175.0,bam,Jan 'bam' Lochner,South Africa
23177.0,lord,Bradley 'lord' Pretorius,South Africa
23176.0,puppyy,Ruan 'Puppyy' Roux,South Africa
2161.0,noktse,Nicolás 'Noktse' Dávila,Argentina
14737.0,meyern,Ignacio 'meyern' Meyer,Argentina
17039.0,deco,Marcos 'deco' Amato,Argentina
20394.0,luchov,Luciano 'luchov' Herrera,Argentina
22570.0,tomaszin,Tomas 'tomaszin' Corna,Argentina
20085.0,kauez,Kaue 'kauez' Kaschuk,Brazil
20185.0,cass1n,Cássio 'cass1n' Santos,Brazil
18676.0,skullz,Felipe 'skullz' Medeiros,Brazil
18141.0,biguzera,Rodrigo 'biguzera' Bittencourt,Brazil
20563.0,lux,Lucas 'lux' Meneghini,Brazil
20960.0,ex1st,Mateusz 'ex1st' Witman,Poland
20018.0,fr3nd,Sebastian 'fr3nd' Kuśmierz,Poland
18070.0,demho,Patryk 'Demho' Tomaszewski,Poland
20957.0,klameczka,Kamil 'Klameczka' Mętel,Poland
20958.0,bajmi,Wojciech 'bajmi' Strzelczyk,Poland
21784.0,simke,Saša 'simke' Simić,Bosnia and Herzegovina
5351.0,avn,Filip 'aVN' Belojica,Serbia
8311.0,nemanha,Nemanja 'nEMANHA' Đukić,Serbia
21302.0,cjoffo,Andrej 'Cjoffo' Šarac,Montenegro
21783.0,brutmonster,Adin 'brutmonster' Husić,Bosnia and Herzegovina
20122.0,freeze,Lukas 'FreeZe' Hegmann,Germany
12290.0,perx,Paul 'PerX' von Erdmannsdorff,Germany
15370.0,slaxz,Fritz 'slaxz-' Dietrich,Germany
7499.0,spiidi,Timo 'Spiidi' Richter,Germany
14061.0,awzek,Michalis 'awzek' Napoloni,Greece
6593.0,pkl,Vinicios 'PKL' Coelho,Brazil
16816.0,vsm,Vinicius 'vsm' Moreira,Brazil
18717.0,lucaozy,Lucas 'Lucaozy' Neves,Brazil
18894.0,t9rnay,Henrique 't9rnay' Menacho,Brazil
19692.0,zevy,Romeu 'zevy' Rocco,Brazil
8574.0,woxic,Özgür 'woxic' Eker,Turkey
150.0,maj3r,Engin 'MAJ3R' Küpeli,Turkey
7938.0,xantares,Ismailcan 'XANTARES' Dörtkardeş,Turkey
8575.0,calyx,Buğra 'Calyx' Arkın,Turkey
21243.0,wicadia,Ali 'Wicadia' Haydar Yalçın,Turkey
13249.0,osee,Josh 'oSee' Ohm,United States
8520.0,naf,Keith 'NAF' Markovic,Canada
13915.0,yekindar,Mareks 'YEKINDAR' Gaļinskis,Latvia
19673.0,patsi,Robert 'Patsi' Isyanov,Russia
17145.0,rainwaker,Aleks 'Rainwaker' Petrov,Bulgaria
11337.0,rcf,Rodrigo 'RCF' Figueiredo,Brazil
14010.0,zmb,Leonardo 'zmb' Toledo,Brazil
16954.0,yepz,Yan 'yepz' Pedretti,Brazil
20171.0,snow,João 'snow' Vinicius,Brazil
22140.0,souz4h,Luiz 'souz4h' de Souza,Brazil
11926.0,mds,Aleksandr 'mds' Rubets,Belarus
19821.0,znxxx,Alexey 'znxxX' Zlotkovskiy,Belarus
18510.0,sugar,Amin 'sugaR' Azimov,Azerbaijan
19962.0,re1gn,Daniil 'Re1GN' Chekanin,Russia
17293.0,porya,Danil 'Porya' Poryadin,Russia
13980.0,lollipop21k,Igor 'lollipop21k' Solodkov,Belarus
